Company,Website,Email,LinkedIn
ABC Inc,https://abc.com,john@abc.com,https://linkedin.com/abc
XYZ Ltd,http://xyz.com,info@xyz.com,
FooBar,https://foobar.io,contact@foobar.io,https://linkedin.com/foobar
FreshCo,https://fresh.com,support@fresh.com,
GrowUp,http://growup.net,alice@growup.net,https://linkedin.com/growup
OpenAI,https://openai.com,contact@openai.com,https://linkedin.com/in/samaltman
ABC Startups,http://abcstartups.com,info@abcstartups.com,
Finlytix,https://finlytix.ai,founder@finlytix.ai,https://linkedin.com/in/jdoe
ZeroTech Labs,http://zerotechlabs.io,admin@zerotechlabs.io,https://linkedin.com/in/ceo
Juno Consulting,https://junoconsulting.com,ceo@juno.com,
Email Fail Co,https://bademail.net,bademail@@example,https://linkedin.com/in/fail
Clean Corp,https://cleancorp.com,support@cleancorp.com,
